,,,,,,,,,,,,,,,,,,,,
,Sensitivity scenario,,,,,,,,,,,,,,,,,,,
SizeSel_5P_2_OnboardCPUE,-2.12,,-2.10,-2.11,-2.09,-2.03,,-2.33,-2.07,-2.13,-2.05,-4.84,-2.11,-4.08,,-2.03,-2.13,-2.12,-2.17,-2.19
SizeSel_5P_3_OnboardCPUE,2.28,,2.22,2.20,2.28,2.15,,2.41,2.21,2.32,2.07,-0.92,2.23,-3.99,,2.11,2.27,2.12,2.44,2.29
SizeSel_7P_1_RecResearch,26.33,,26.34,25.83,26.47,25.78,,28.99,26.76,26.44,25.02,25.67,32.50,32.50,,26.41,26.41,26.74,28.36,26.75
SizeSel_7P_2_RecResearch,-1.44,,-1.44,-1.37,-1.46,-1.36,,-2.06,-1.50,-1.45,-1.23,-1.34,0.00,0.00,,-1.46,-1.45,-1.52,-1.84,-1.56
SizeSel_7P_3_RecResearch,2.89,,2.89,2.73,2.93,2.73,,3.66,2.99,2.92,2.44,2.66,4.00,4.00,,2.96,2.92,3.05,3.47,3.35
Catchability (analytic solution),,,,,,,,,,,,,,,,,,,,
Onboard CPUE,8.20E-05,,7.63E-05,8.49E-05,9.67E-05,1.07E-04,,6.84E-05,7.83E-05,8.58E-05,7.12E-05,1.10E-04,7.84E-05,1.30E-03,,7.93E-05,8.23E-05,7.75E-05,1.27E-04,6.18E-05
Onboard CPUE II,9.39E-05,,8.51E-05,1.19E-04,1.29E-04,2.54E-04,,7.94E-05,8.49E-05,1.02E-04,8.57E-05,1.18E-04,8.85E-05,1.19E-03,,9.09E-05,9.42E-05,8.86E-05,1.57E-04,6.81E-05
Dockside,4.87E-05,,4.52E-05,5.12E-05,5.83E-05,6.72E-05,,4.19E-05,4.47E-05,5.13E-05,4.37E-05,6.16E-05,4.64E-05,7.97E-04,,4.77E-05,4.88E-05,4.60E-05,7.51E-05,3.76E-05
Dervied quantities,,,,,,,,,,,,,,,,,,,,
SB0,1062,,1045,1012,1070,1046,,726,1104,1067,1222,1047,1055,105,,1214,1037,1038,1164,1387
SB2015,353,,392,249,229,55,,287,398,320,469,410,378,49,,353,357,363,222,406
SB2015/SB0,33%,,38%,25%,21%,5%,,40%,36%,30%,38%,39%,36%,46%,,29%,34%,35%,19%,29%
Yield at SPR50%,319,,325,299,300,265,,336,326,314,321,319,324,373,,320,318,318,335,319
